Volatility 3 Framework 2.8.0

Variable	Value

Kernel Base	0xf80128a00000
DTB	0x1aa000
Symbols	file:///C:/Users/User/AppData/Local/Programs/Python/Python39/Lib/site-packages/volatility3/symbols/windows/ntkrnlmp.pdb/D9424FC4861E47C10FAD1B35DEC6DCC8-1.json.xz
Is64Bit	True
IsPAE	False
layer_name	0 WindowsIntel32e
memory_layer	1 FileLayer
KdVersionBlock	0xf8012960f400
Major/Minor	15.19041
MachineType	34404
KeNumberProcessors	2
SystemTime	2025-01-16 07:52:07+00:00
NtSystemRoot	C:\Windows
NtProductType	NtProductWinNt
NtMajorVersion	10
NtMinorVersion	0
PE MajorOperatingSystemVersion	10
PE MinorOperatingSystemVersion	0
PE Machine	34404
PE TimeDateStamp	Mon Dec  9 11:07:51 2019
